image_path,vegetable_label,freshness_label
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (954).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\freshTomato (168).png,12,0
E:\Dataset(蔬果）\Rotten\RottenPotato\p_r419.png,23,1
E:\Dataset(蔬果）\Fresh\FreshBittergroud\IMG_20200823_131903.jpg_0_38.jpg,3,0
E:\Dataset(蔬果）\Fresh\FreshApple\rotated_by_75_Screen Shot 2018-06-08 at 5.27.27 PM.png,0,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (5487).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshOrange\203_jpg.rf.523cdd726ec6817b8e582ed0a6396eaf.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshApple\translation_Screen Shot 2018-06-08 at 5.34.21 PM.png,0,0
E:\Dataset(蔬果）\Rotten\RottenPotato\p_r288.png,23,1
E:\Dataset(蔬果）\Fresh\FreshTomato\IMG_20200725_095424.jpg_0_8641.jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenCarrot\IMG_20231115_184457_1_jpg.rf.db669744e5b6ec0e60921457c2f1ab8c.jpg,18,1
E:\Dataset(蔬果）\Fresh\FreshApple\rotated_by_75_Screen Shot 2018-06-08 at 5.24.12 PM.png,0,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\20220413_191759_jpg.rf.f85526b773f3d447836afe4fe592b075.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshOrange\orange3_png.rf.e10915c1c7103a73a8fb6a192cc9ad81.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_segar (183).png,9,0
E:\Dataset(蔬果）\Fresh\FreshTomato\IMG_20220601_094902.jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenBellpepper\rottenPepper (350).jpg,15,1
E:\Dataset(蔬果）\Fresh\FreshOrange\84_jpg.rf.cf53b55e83e066964aae533cac8b8ac2.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (5917).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenCarrot\IMG_20231115_185723_1_jpg.rf.698fb931e15684c0317d61735fd3244b.jpg,18,1
E:\Dataset(蔬果）\Rotten\RottenApple\rottenApple (339).jpg,13,1
E:\Dataset(蔬果）\Fresh\FreshTomato\IMG_20200725_095424.jpg_0_1943.jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\o (1898).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\IMG_20220602_090043.jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenCarrot\(195).jpg,18,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\Image_59_jpg.rf.60b1e35d1fc95220260a71dd274487ff.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshApple\a_f047.png,0,0
E:\Dataset(蔬果）\Rotten\RottenBanana\rotated_by_75_Screen Shot 2018-06-12 at 9.09.43 PM.png,14,1
E:\Dataset(蔬果）\Fresh\FreshOrange\images357_jpg.rf.851c4b5a1099b841a2b6f6af1e870534.jpg,9,0
E:\Dataset(蔬果）\Rotten\RottenBanana\rotated_by_75_Screen Shot 2018-06-12 at 9.07.35 PM.png,14,1
E:\Dataset(蔬果）\Fresh\FreshOrange\freshOrange (20).jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_s (1093).jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshOrange\vertical_flip_Screen Shot 2018-06-13 at 12.13.44 AM.png,9,0
E:\Dataset(蔬果）\Fresh\FreshCucumber\c_f128.png,6,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_segar (1368).png,9,0
E:\Dataset(蔬果）\Fresh\FreshBanana\Screen Shot 2018-06-12 at 9.52.50 PM.png,1,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\IMG_20231116_111818_1_jpg.rf.696fa1174cb7d14586cb8037634051bd.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\20220413_191844_jpg.rf.c42e9f060bc946d2913697c44968f82b.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_segar (698).png,9,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (3822).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshApple\rotated_by_75_Screen Shot 2018-06-08 at 5.11.02 PM.png,0,0
E:\Dataset(蔬果）\Rotten\RottenTomato\t_r493.png,25,1
E:\Dataset(蔬果）\Rotten\RottenApple\translation_Screen Shot 2018-06-07 at 2.41.14 PM.png,13,1
E:\Dataset(蔬果）\Fresh\FreshApple\rotated_by_45_Screen Shot 2018-06-08 at 5.18.26 PM.png,0,0
E:\Dataset(蔬果）\Fresh\FreshPotato\freshPotato (587).jpg,10,0
E:\Dataset(蔬果）\Rotten\RottenMango\rottenMango (14).jpg,20,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\carrot_-233_jpg.rf.92b8d9ec4fdb5e95fdf6fa72d560a178.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshApple\rotated_by_75_Screen Shot 2018-06-08 at 5.05.48 PM.png,0,0
E:\Dataset(蔬果）\Fresh\FreshBanana\rotated_by_15_Screen Shot 2018-06-12 at 9.47.55 PM.png,1,0
E:\Dataset(蔬果）\Fresh\FreshStrawberry\freshStrawberry (595).jpg,11,0
E:\Dataset(蔬果）\Rotten\RottenApple\rotated_by_15_Screen Shot 2018-06-07 at 3.00.17 PM.png,13,1
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (835).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\o (1085).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\t_f083.png,12,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\20220413_191652_jpg.rf.fa70434f494aa9026015347b099d8c90.jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenOrange\jeruk_busuk (452).png,22,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\wortel_segar (97).jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (3922).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (1359).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenBanana\b_r032.png,14,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\wortel_segar (1439).jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\wortel_s (148).jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenTomato\DSCN4238.jpg_0_7850.jpg,25,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\wortel_segar (2178).jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshOrange\s-l400_jpg.rf.0bee0b12e4da61d7b0ff0ce58a05d628.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\wortel_segar (1988).jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshCapciscum\IMG_20200901_181751.jpg_0_3859.jpg,4,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (2351).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshOrange\freshOrange (224).jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\GreenPapayaSalad_Step4_jpg.rf.080e3d5757cb01450eede03981fd82bd.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshCucumber\c_f338.png,6,0
E:\Dataset(蔬果）\Rotten\RottenCapsicum\WhatsApp Image 2020-11-07 at 11.35.37 PM(1).jpeg_0_9874.jpg,17,1
E:\Dataset(蔬果）\Fresh\FreshCapciscum\capsicum3_13.jpg_0_6026.jpg,4,0
E:\Dataset(蔬果）\Rotten\RottenOrange\vertical_flip_Screen Shot 2018-06-12 at 11.32.55 PM.png,22,1
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_segar (278).jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (6471).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (2916).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\o (1730).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshOrange\rotated_by_15_Screen-Shot-2018-06-13-at-12-13-44-AM_png.rf.6c4175eeef057d1ad54931fb5c2946c2.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (1726).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenCapsicum\IMG_20200901_181736.jpg_0_5640.jpg,17,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\wortel_segar (1856).jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshTomato\IMG_20220602_085648.jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshPotato\p_f017.png,10,0
E:\Dataset(蔬果）\Fresh\FreshOkara\o_f581.png,8,0
E:\Dataset(蔬果）\Fresh\FreshCapciscum\capsicum3_11.jpg_0_2707.jpg,4,0
E:\Dataset(蔬果）\Fresh\FreshOkara\o_f141.png,8,0
E:\Dataset(蔬果）\Fresh\FreshCucumber\c_f311.png,6,0
E:\Dataset(蔬果）\Fresh\FreshApple\rotated_by_75_Screen Shot 2018-06-08 at 5.10.53 PM.png,0,0
E:\Dataset(蔬果）\Fresh\FreshPotato\freshPotato (499).jpg,10,0
E:\Dataset(蔬果）\Fresh\FreshStrawberry\freshStrawberry (327).jpg,11,0
E:\Dataset(蔬果）\Fresh\FreshTomato\IMG_20220602_085547.jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenCapsicum\WhatsApp Image 2020-11-07 at 11.30.47 PM.jpg_0_3813.jpg,17,1
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (252).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshCapciscum\Day4A.jpg_0_4682.jpg,4,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\32_JPG.rf.5e5283366dea1677c2a259c1bc27ef57.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshBanana\freshBanana (364).jpg,1,0
E:\Dataset(蔬果）\Fresh\FreshOrange\rotated_by_75_Screen-Shot-2018-06-13-at-12-20-06-AM_png.rf.be997166a3c5855176b67e73cf047dd4.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshCapciscum\capsicum3_13.jpg_0_2021.jpg,4,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_segar (176).png,9,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\freshCarrot (69).jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenOrange\jeruk_busuk (140).png,22,1
E:\Dataset(蔬果）\Rotten\RottenCapsicum\WhatsApp Image 2020-11-07 at 11.30.47 PM.jpg_0_1632.jpg,17,1
E:\Dataset(蔬果）\Rotten\RottenApple\vertical_flip_Screen Shot 2018-06-08 at 2.23.40 PM.png,13,1
E:\Dataset(蔬果）\Fresh\FreshTomato\o (2214).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (104).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenBanana\vertical_flip_Screen Shot 2018-06-12 at 9.10.14 PM.png,14,1
E:\Dataset(蔬果）\Fresh\FreshCapciscum\capsicum3_2.jpg_0_1799.jpg,4,0
E:\Dataset(蔬果）\Rotten\RottenStrawberry\rottenStrawberry (518).jpg,24,1
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_s (7).png,9,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\Carrot test_18_darker.jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenCarrot\(149).jpg,18,1
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_s (67).jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshBanana\Screen Shot 2018-06-12 at 9.45.34 PM.png,1,0
E:\Dataset(蔬果）\Rotten\RottenBellpepper\rottenPepper (343).jpg,15,1
E:\Dataset(蔬果）\Rotten\RottenCarrot\Root Knot Nematode_87.PNG,18,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\72_JPG_jpg.rf.e42de32520838ea8d63a4620134a47c0.jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenOrange\rotated_by_30_Screen Shot 2018-06-12 at 11.35.59 PM.png,22,1
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_segar (1029).png,9,0
E:\Dataset(蔬果）\Fresh\FreshTomato\o (1987).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshBanana\Screen Shot 2018-06-12 at 9.47.39 PM.png,1,0
E:\Dataset(蔬果）\Rotten\RottenBanana\rotated_by_15_Screen Shot 2018-06-12 at 8.58.01 PM.png,14,1
E:\Dataset(蔬果）\Fresh\FreshCapciscum\capsicum3_12.jpg_0_1619.jpg,4,0
E:\Dataset(蔬果）\Rotten\RottenTomato\tomat_busuk (954).jpg,25,1
E:\Dataset(蔬果）\Fresh\FreshCapciscum\capsicum3_11.jpg_0_938.jpg,4,0
E:\Dataset(蔬果）\Fresh\FreshApple\rotated_by_60_Screen Shot 2018-06-08 at 5.04.24 PM.png,0,0
E:\Dataset(蔬果）\Rotten\RottenApple\Screen Shot 2018-06-07 at 2.23.24 PM.png,13,1
E:\Dataset(蔬果）\Rotten\RottenPotato\rottenPotato (74).jpg,23,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\wortel_segar (208).jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshBanana\freshBanana (417).jpg,1,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\5_JPG.rf.9a5b3546bbc079a7bbed518e4bfe74be.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshTomato\o (1412).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshBellpepper\freshPepper (517).jpg,2,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\(55).jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_s (242).jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshBanana\translation_Screen Shot 2018-06-12 at 9.57.42 PM.png,1,0
E:\Dataset(蔬果）\Fresh\FreshApple\freshApple (640).png,0,0
E:\Dataset(蔬果）\Fresh\FreshMango\freshMango (189).jpg,7,0
E:\Dataset(蔬果）\Rotten\RottenOrange\rotated_by_60_Screen Shot 2018-06-12 at 11.25.11 PM.png,22,1
E:\Dataset(蔬果）\Fresh\FreshOrange\81_jpg.rf.d7e9ec799952f8b9ba552013defb9abb.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (1592).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\IMG_20220602_085843.jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenOrange\Screen Shot 2018-06-12 at 11.42.56 PM.png,22,1
E:\Dataset(蔬果）\Rotten\RottenCucumber\rottenCucumber (107).jpg,19,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\wortel_s (186).jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\wortel_segar (1386).jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\1012_jpg.rf.5d51158727995d22ef0673fdf6fc355a.jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenApple\rotated_by_15_Screen Shot 2018-06-08 at 2.48.29 PM.png,13,1
E:\Dataset(蔬果）\Fresh\FreshOrange\Screen-Shot-2018-06-13-at-12-05-13-AM_png.rf.69b08232ffca85118256cfa7130da171.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshBanana\b_f037.png,1,0
E:\Dataset(蔬果）\Fresh\FreshApple\freshApple (497).png,0,0
E:\Dataset(蔬果）\Fresh\FreshBanana\saltandpepper_Screen Shot 2018-06-12 at 9.58.49 PM.png,1,0
E:\Dataset(蔬果）\Fresh\FreshOrange\rotated_by_75_Screen Shot 2018-06-13 at 12.07.10 AM.png,9,0
E:\Dataset(蔬果）\Fresh\FreshTomato\t_f610.png,12,0
E:\Dataset(蔬果）\Rotten\RottenBanana\rotated_by_45_Screen Shot 2018-06-12 at 8.50.04 PM.png,14,1
E:\Dataset(蔬果）\Fresh\FreshTomato\t_f088.png,12,0
E:\Dataset(蔬果）\Fresh\FreshOrange\vertical_flip_Screen Shot 2018-06-12 at 11.51.47 PM.png,9,0
E:\Dataset(蔬果）\Fresh\FreshApple\a_f471.png,0,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (5316).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\reject (134).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshOrange\68_jpg.rf.3ae36f853dafead472720f813554cba9.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshApple\vertical_flip_Screen Shot 2018-06-08 at 5.04.05 PM.png,0,0
E:\Dataset(蔬果）\Fresh\FreshApple\rotated_by_45_Screen Shot 2018-06-08 at 5.01.34 PM.png,0,0
E:\Dataset(蔬果）\Rotten\RottenTomato\Copy of IMG_20200727_223202.jpg_0_7736.jpg,25,1
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (3726).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenApple\rotated_by_75_Screen Shot 2018-06-07 at 2.59.13 PM.png,13,1
E:\Dataset(蔬果）\Rotten\RottenBanana\b_r442.png,14,1
E:\Dataset(蔬果）\Fresh\FreshTomato\IMG_20220606_093941.jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenTomato\t_r344.png,25,1
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (976).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshOrange\11_jpg.rf.81ca7b621f591263c415cf3fbd01e151.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\wortel_segar (342).jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_segar (1156).png,9,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\134_jpg.rf.ea279750a3b0da41626efc84f68cc1d2.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshTomato\IMG_20220530_084131.jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (4819).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenBellpepper\rottenPepper (374).jpg,15,1
E:\Dataset(蔬果）\Fresh\FreshBanana\rotated_by_30_Screen Shot 2018-06-12 at 9.51.29 PM.png,1,0
E:\Dataset(蔬果）\Fresh\FreshBellpepper\freshPepper (457).jpg,2,0
E:\Dataset(蔬果）\Rotten\RottenCapsicum\WhatsApp Image 2020-11-07 at 11.30.46 PM.jpg_0_6216.jpg,17,1
E:\Dataset(蔬果）\Fresh\FreshOrange\Screen-Shot-2018-06-13-at-12-07-10-AM_png.rf.3df46e0f64f7d15d96b469dd8f7bc4d7.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\wortel_segar (355).jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenBellpepper\rottenPepper (523).jpg,15,1
E:\Dataset(蔬果）\Rotten\RottenPotato\rottenPotato (354).jpg,23,1
E:\Dataset(蔬果）\Fresh\FreshApple\rotated_by_75_Screen Shot 2018-06-08 at 5.16.57 PM.png,0,0
E:\Dataset(蔬果）\Fresh\FreshCapciscum\capsicum3_7.jpg_0_7825.jpg,4,0
E:\Dataset(蔬果）\Fresh\FreshCucumber\freshCucumber (301).jpg,6,0
E:\Dataset(蔬果）\Rotten\RottenBellpepper\rottenPepper (119).jpg,15,1
E:\Dataset(蔬果）\Fresh\FreshBanana\b_f597.png,1,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\20220413_191608_jpg.rf.4266eef36f912af3cc5340807792acd5.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_s (820).jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshBanana\freshBanana (200).jpg,1,0
E:\Dataset(蔬果）\Rotten\RottenOrange\rotated_by_75_Screen Shot 2018-06-12 at 11.19.56 PM.png,22,1
E:\Dataset(蔬果）\Fresh\FreshCapciscum\IMG_20200825_144640.jpg_0_7290.jpg,4,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_segar (1290).png,9,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\15_JPG_jpg.rf.b1b11c86f9aae9b4000ae6b2e7a89d9f.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_sedang (66).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\carrot_-72_jpg.rf.a93d4efed51e9a719c84eb2fcf250023.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshOrange\Screen-Shot-2018-06-13-at-12-15-39-AM_png.rf.b5706cbf24bbcddb83f7b32108c142ee.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (1436).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshBanana\Screen Shot 2018-06-12 at 9.53.30 PM.png,1,0
E:\Dataset(蔬果）\Fresh\FreshPotato\p_f467.png,10,0
E:\Dataset(蔬果）\Fresh\FreshOrange\images150_jpg.rf.fc16b73301982231b77912567f77d75f.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshPotato\freshPotato (426).jpg,10,0
E:\Dataset(蔬果）\Rotten\RottenApple\a_r289.png,13,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\carrot_-379_jpg.rf.a71e48fb1ed84393da1c77f94bfe160e.jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenStrawberry\rottenStrawberry (476).jpg,24,1
E:\Dataset(蔬果）\Rotten\RottenOrange\jeruk_busuk (493).png,22,1
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_s (1011).jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshApple\rotated_by_15_Screen Shot 2018-06-08 at 5.33.11 PM.png,0,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (1699).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshBanana\Screen Shot 2018-06-12 at 10.00.42 PM.png,1,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\wortel_segar (1606).jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshBanana\b_f121.png,1,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_segar (1293).png,9,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\20220413_191551_jpg.rf.b36ca5ff9c4be64468c7c47da187b1cd.jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenTomato\(277).jpg,25,1
E:\Dataset(蔬果）\Fresh\FreshOrange\matang-61-_jpeg.rf.713a8d09937db69c31c9b4d1935ebf9d.jpg,9,0
E:\Dataset(蔬果）\Rotten\RottenBanana\rotated_by_60_Screen Shot 2018-06-12 at 8.54.58 PM.png,14,1
E:\Dataset(蔬果）\Fresh\FreshOrange\images310_jpg.rf.715b109026c5428f877860f3a031e5df.jpg,9,0
E:\Dataset(蔬果）\Rotten\RottenBellpepper\rottenPepper (97).jpg,15,1
E:\Dataset(蔬果）\Fresh\FreshApple\freshApple (847).png,0,0
E:\Dataset(蔬果）\Rotten\RottenCarrot\(197).jpg,18,1
E:\Dataset(蔬果）\Fresh\FreshCarrot\carrot_-151_jpg.rf.4690543e9b0ee04a9b1fd4361104a039.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\0226.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_s (608).jpg,9,0
E:\Dataset(蔬果）\Rotten\RottenCarrot\(346).jpg,18,1
E:\Dataset(蔬果）\Fresh\FreshOrange\rotated_by_60_Screen Shot 2018-06-13 at 12.00.43 AM.png,9,0
E:\Dataset(蔬果）\Rotten\RottenApple\a_r320.png,13,1
E:\Dataset(蔬果）\Fresh\FreshBanana\b_f260.png,1,0
E:\Dataset(蔬果）\Fresh\FreshApple\freshApple (845).png,0,0
E:\Dataset(蔬果）\Rotten\RottenStrawberry\rottenStrawberry (519).jpg,24,1
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_sedang (104).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenBanana\b_r626.png,14,1
E:\Dataset(蔬果）\Fresh\FreshPotato\p_f149.png,10,0
E:\Dataset(蔬果）\Rotten\RottenStrawberry\rottenStrawberry (60).jpg,24,1
E:\Dataset(蔬果）\Rotten\RottenBanana\b_r672.png,14,1
E:\Dataset(蔬果）\Fresh\FreshTomato\o (252).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenTomato\tomat_busuk (994).jpg,25,1
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (5562).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenStrawberry\rottenStrawberry (219).jpg,24,1
E:\Dataset(蔬果）\Rotten\RottenCarrot\IMG_20231115_185717_jpg.rf.f243c5c7b2618190cfdbd6da083e161a.jpg,18,1
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (1067).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshBellpepper\freshPepper (397).jpg,2,0
E:\Dataset(蔬果）\Fresh\FreshTomato\o (892).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenOrange\jeruk_busuk (18).png,22,1
E:\Dataset(蔬果）\Fresh\FreshApple\a_f472.png,0,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (3487).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshBittergroud\IMG_20200822_223840.jpg_0_6553.jpg,3,0
E:\Dataset(蔬果）\Fresh\FreshApple\rotated_by_45_Screen Shot 2018-06-08 at 5.09.25 PM.png,0,0
E:\Dataset(蔬果）\Fresh\FreshTomato\reject (237).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\reject (298).jpg,12,0
E:\Dataset(蔬果）\Rotten\RottenBellpepper\rottenPepper (605).jpg,15,1
E:\Dataset(蔬果）\Rotten\RottenOrange\rotated_by_45_Screen Shot 2018-06-12 at 11.23.33 PM.png,22,1
E:\Dataset(蔬果）\Fresh\FreshTomato\o (2146).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshTomato\t_f497.png,12,0
E:\Dataset(蔬果）\Rotten\RottenCapsicum\WhatsApp Image 2020-11-07 at 11.43.17 PM.jpeg_0_6110.jpg,17,1
E:\Dataset(蔬果）\Rotten\RottenTomato\Copy of IMG_20200801_191339.jpg_0_7365.jpg,25,1
E:\Dataset(蔬果）\Fresh\FreshApple\a_f320.png,0,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\20220413_191805_jpg.rf.d6abf07793d9a0ddc54536c45e192274.jpg,5,0
E:\Dataset(蔬果）\Rotten\RottenApple\rottenApple (543).jpg,13,1
E:\Dataset(蔬果）\Fresh\FreshApple\a_f689.png,0,0
E:\Dataset(蔬果）\Fresh\FreshBittergroud\IMG_20200823_131903.jpg_0_866.jpg,3,0
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (1015).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshCarrot\20220413_192000_jpg.rf.46ed12372a82d7e9391f650842d2d6c7.jpg,5,0
E:\Dataset(蔬果）\Fresh\FreshTomato\o (1190).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshMango\freshMango (371).jpg,7,0
E:\Dataset(蔬果）\Fresh\FreshOrange\translation_Screen-Shot-2018-06-12-at-11-28-04-PM_png.rf.1612b74d667d649bc08976a879828bcd.jpg,9,0
E:\Dataset(蔬果）\Fresh\FreshApple\freshApple (302).jpg,0,0
E:\Dataset(蔬果）\Rotten\RottenCarrot\(551).jpg,18,1
E:\Dataset(蔬果）\Fresh\FreshTomato\tomat_segar (4389).jpg,12,0
E:\Dataset(蔬果）\Fresh\FreshApple\freshApple (807).png,0,0
E:\Dataset(蔬果）\Fresh\FreshBellpepper\freshPepper (274).jpg,2,0
E:\Dataset(蔬果）\Fresh\FreshOrange\jeruk_segar (1128).png,9,0
